School Name,Address
CENTRAL DIST ADMIN OFF,333 S BEAUDRY AVE 11TH FLOOR LOS ANGELES 90071
PARENT COMM STUD SERV,1360 W TEMPLE ST LOS ANGELES 90026
4TH ST PC,469 AMALIA AVE LOS ANGELES 90022
VAUGHN NEXT CENT LC,11200 HERRICK AVE PACOIMA 91331
VAUGHN NEXT CENT LC,13421 VAUGHN ST SAN FERNANDO 91331
VAUGHN NEXT CENT LC,11505 HERRICK AVE PACOIMA 91331
PUC CALS CHRTR MS & EARLY COLLEGE HS,7350 N. FIGUEROA ST. LOS ANGELES 90041
OPEN CHARTER MAGNET,5540 W 77TH ST LOS ANGELES 90045
COMMUNITY MAGNET CHRTR,11301 BELLAGIO RD LOS ANGELES 90049
NORTH VALLEY MILITARY INST COL PREP ACAD,12105 ALLEGHENY ST SUN VALLEY 91352
ALLIANCE HEALTH SERVICES ACAD HS,10616 S WESTERN AVE LOS ANGELES 90047
ANIMO WESTSIDE CHT MS,5456 MCCONNELL AVE LOS ANGELES 90066
EQUITAS ACAD CHRTR 2,2723 W 8TH ST LOS ANGELES 90005
ALLIANCE BLOOMFIELD TECH ACAD,7907 SANTA FE AVE HUNTINGTON PARK 90255
CLEMENTE CHRTR SCHOOL,5911 WOODLAWN AVE MAYWOOD 90270
ALLIANCE 6-12 COLLEGE-READY ACAD 21,8926 SUNLAND BLVD SUN VALLEY 91352
CITY HIGH,4650 W OLYMPIC BLVD LOS ANGELES 90019
COLLEGIATE CHRTR HS OF LA,312 N RECORD AVE LOS ANGELES 90063
EAST COLLEGE PREP,3825 N MISSION RD LOS ANGELES 90031
EQUITAS ACAD CHRTR 3,2723 W 8TH ST LOS ANGELES 90005
FENTON ACAD FOR SEL,8926 SUNLAND BLVD SUN VALLEY 91352
FENTON ACAD STEM,8926 SUNLAND BLVD SUN VALLEY 91352
INGENIUM CHRTR,22250 ELKWOOD ST CANOGA PARK 91304
KIPP IGNITE ACAD,9110 S CENTRAL AVE LOS ANGELES 90002
KIPP PROMESA PREP,207 S DACOTAH ST LOS ANGELES 90063
LIBERTAS COL PREP CHRTR,3875 DUBLIN AVE LOS ANGELES 90008
PUBLIC POLICY CHRTR,1701 BROWNING BLVD LOS ANGELES 90062
RENAISSANCE ARTS ACD K-12,1816 COLORADO BLVD LOS ANGELES 90041
RESOLUTE ACAD CHRTR,1265 E 112TH ST LOS ANGELES 90059
SUMMIT PREP CHRTR,5100 S BROADWAY ST LOS ANGELES 90037
YPI VALLEY PUBLIC CHRTR HS,12540 PIERCE ST PACOIMA 91331
ALLIANCE COLLEGE-READY MS ACAD #8,113 S ROWAN AVE LOS ANGELES 90063
ESP MAG,3501 N BROADWAY LOS ANGELES 90031
ACAD FOR ENRICHED SCI,6170 LOCKHURST DR WOODLAND HILLS 91367
NO HOLLYWOOD HS ZOO BIOLOGY MAG,5231 COLFAX AVE NORTH HOLLYWOOD 91601
VENICE HS STEMM MAG,13000 VENICE BLVD LOS ANGELES 90066
VERDUGO HILLS VAPA,10625 PLAINVIEW AVE TUJUNGA 91042
CRENSHAW BET MAG,5010 11TH AVE LOS ANGELES 90043
CRENSHAW VAPA MAG,5010 11TH AVE LOS ANGELES 90043
WESM ENV NATRL SCI,7400 W MANCHESTER AVE LOS ANGELES 90045
WESM A/A G/HA MAG,7400 W MANCHESTER AVE LOS ANGELES 90045
