School Name,Address
NAVA COL PREP ACAD,1319 E 41ST ST LOS ANGELES 90011
VAN NUYS HS,6535 CEDROS AVE VAN NUYS 91411
BRIDGE ES,605 N BOYLE AVE LOS ANGELES 90033
SYNERGY CHARTER SCH,900 E 33RD ST LOS ANGELES 90011
DREW MS,8511 COMPTON AVE LOS ANGELES 90001
CELERITY DYAD CHRTR,4700 S CENTRAL AVE LOS ANGELES 90011
HARBOR CAS,950 W SANTA CRUZ ST SAN PEDRO 90731
SHARP ES,13800 PIERCE ST ARLETA 91331
CARSON-GORE ACAD OF ENV STUDIES,3200 W WASHINGTON BLVD LOS ANGELES 90018
WESM HLTH/SPORTS MED,7400 W MANCHESTER AVE LOS ANGELES 90045
CORTINES SCHOOL OF VPA,450 N GRAND AVE LOS ANGELES 90012
GAULT ES,17000 GAULT ST VAN NUYS 91406
HARMONY ES,898 E 42ND ST LOS ANGELES 90011
MIDDLETON PC,2410 ZOE AVE HUNTINGTON PARK 90255
LEXINGTON AVE PC,4564 W LEXINGTON AVE LOS ANGELES 90027
ANIMO RALPH BUNCHE HS,1655 NE 27TH ST STE B LOS ANGELES 90011
CARDENAS ES,6900 N CALHOUN AVE VAN NUYS 91405
GARDENA ES,647 W GARDENA BLVD GARDENA 90247
DAYTON EEC,3917 CLINTON ST LOS ANGELES 90004
ARTS AND COMMUNITY EMPOWERMENT (ArtLAB),2050 SAN FERNANDO RD LOS ANGELES 90065
STUDIO SCHOOL,2050 SAN FERNANDO RD LOS ANGELES 90065
ESTRELLA ES,120 E 57TH ST LOS ANGELES 90011
M&O AREA N-2 OFF,8960 HERRICK AVE SUN VALLEY 91352
TOLAND WAY ES,4545 TOLAND WAY LOS ANGELES 90041
MAGNOLIA SCI ACAD 3,1254 E HELMICK ST CARSON 90746
WESTERN ES,1724 W 53RD ST LOS ANGELES 90062
ELEMENTARY REGION D,6621 BALBOA BLVD VAN NUYS 91406
STERRY ES,1730 CORINTH AVE LOS ANGELES 90025
ANIMO PAT BROWN,8255 BEACH ST LOS ANGELES 90018
ALLIANCE SKIRBALL MS,603 E 115TH ST LOS ANGELES 90062
BURTON ES,8111 CALHOUN AVE PANORAMA CITY 91402
TOPEKA CHRTR,9815 TOPEKA DR NORTHRIDGE 91324
MENDEZ LC MATH/SCI,1200 PLAZA DEL SOL LOS ANGELES 90033
ASPIRE JR COLLEGIATE ACAD,6724 S ALAMEDA ST HUNTINGTON PARK 90255
ELEMENTARY REGION A,1204 MAGNOLIA AVE GARDENA 90247
M&O AREA N-1 OFF,6651- B BALBOA BLVD VAN NUYS 91406
DISCOVERY CH PREP #2,12550 VAN NUYS BLVD PACOIMA 91331
BACA ARTS ACAD,1536 E 89TH ST LOS ANGELES 90002
KNOLLWOOD PREP ACAD,11822 GERALD AVE GRANADA HILLS 91344
SAN FERNANDO EEC,1204 WOODWORTH ST SAN FERNANDO 91340
NEW MILLENNIUM SECONDARY SCHOOL,1301 W 182ND ST GARDENA 90248
DAHLIA HTS ES,5063 FLORISTAN AV LOS ANGELES 90041
EQUITAS ACAD CHRTR ES,1700 W PICO BLVD LOS ANGELES 90015
KIM ES,255 SOUTH OXFORD AVE LOS ANGELES 90004
ASPIRE CENTENNIAL COLLEGE PREP ACAD,2079 SATURN AVE HUNTINGTON PARK 90255
PORTOLA MS,18720 LINNET ST TARZANA 91356
MILLIKAN CHRTR MS,5041 SUNNYSLOPE AVE SHERMAN OAKS 91423
SUPPORT UNIT REGION 3 & 7,3710 S LA BREA AVE LOS ANGELES 90016
EVERGREEN ES,2730 GANAHL ST LOS ANGELES 90033
BROOKLYN AVE ES,4620 CESAR CHAVEZ AVE LOS ANGELES 90022
BROAD AVE ES,24815 BROAD AVE WILMINGTON 90744
232ND PL ES,23240 ARCHIBALD AVE CARSON 90745
ANIMO JEFFERSON,1655 E 27TH ST STE A LOS ANGELES 90011
NEW VILLAGE GIRLS ACAD,147 N OCCIDENTAL BLVD LOS ANGELES 90026
BERKELEY EEC,1814 BERKELEY AVE LOS ANGELES 90026
MANN MS,7001 S ST ANDREWS PL LOS ANGELES 90047
CARSON ES,161 E CARSON ST CARSON 90745
HAMASAKI ES,4865 E FIRST ST LOS ANGELES 90022
GOETHE INTERNATIONAL CHRTR,12500 BRADDOCK AVE. LOS ANGELES 90066
SYNERGY QUANTUM ACAD,300 E 53RD ST LOS ANGELES 90011
"LAWSON ES ACAD OF ARTS,MATH & SCI",929 W 69TH ST LOS ANGELES 90044
KORENSTEIN ES,7650 N BEN AVE NORTH HOLLYWOOD 91605
WILMINGTON PK ES,1140 MAHAR AVE WILMINGTON 90744
STATE ES,3211 SANTA ANA ST SOUTH GATE 90280
PARA LOS NI�OS GRATTS,474 S HARTFORD AVE LOS ANGELES 90017
MAPLE PC,3601 S MAPLE AVE LOS ANGELES 90011
LA LEADERSHIP PRI ACAD,2670 GRIFFIN AVE LOS ANGELES 90031
DOUGLASS ACAD ES,2400 S WESTERN AVE LOS ANGELES 90018
MANUAL ARTS HS,4131 S VERMONT AVE LOS ANGELES 90037
VIEW PARK PREP CH,3855 SLAUSON BLVD LOS ANGELES 90043
MARIANNA ES,4215 E GLEASON ST LOS ANGELES 90063
FLORENCE ES,7211 BELL AVE LOS ANGELES 90001
WATTS LC CHARTER SCH,310 W 95TH ST LOS ANGELES 90003
OUR COMMUNITY CH,10045 JUMILLA AVE CHATSWORTH 91311
GLEN ALTA ES,3410 SIERRA ST LOS ANGELES 90031
ALLIANCE COLLINS FAMILY COLLEGE-READY HS,2071 SATURN AVE HUNTINGTON PARK 90255
PUC MILAGRO CHRTR ES,1855 N MAIN ST LOS ANGELES 90031
BROADACRES ES,19424 S BROADACRES AVE CARSON 90746
MAGNOLIA SCI ACAD 4,11330 W GRAHAM PL B-9 LOS ANGELES 90064
MAR VISTA ES,3330 GRANVILLE AVE LOS ANGELES 90066
NEW ACADEMY - SCI & ARTS,379 S LOMA DR LOS ANGELES 90017
NEW HEIGHTS CHARTER,3989 S HOBART BLVD LOS ANGELES 90062
HART ST ES,21040 HART ST CANOGA PARK 91303
OSO ES,5724 OSO AVE WOODLAND HILLS 91364
ANNANDALE ES,6125 POPPY PEAK DR LOS ANGELES 90042
PORTER RANCH COMM SCH,12450 MASON AVE PORTER RANCH 91326
WARNER ES,615 HOLMBY AVE LOS ANGELES 90024
VIEW PARK PREP CH,3751 W 54TH ST LOS ANGELES 90043
HIGHLANDER ES,23834 HIGHLANDER WEST HILLS 91307
WEEMES ES,1260 W 36TH PL LOS ANGELES 90007
NEVIN ES,1569 E 32ND ST LOS ANGELES 90011
BELMONT HS,1575 W 2ND ST LOS ANGELES 90026
PLAYA VISTA ES,13150 W BLUFF CREEK DR LOS ANGELES 90045
MULTICULT LRN CTR,7510 DE SOTO AVE CANOGA PARK 91303
VERNON CITY ES,2360 E VERNON AVE LOS ANGELES 90058
DE LA HOYA ANIMO,1114 S. LORENA ST. LOS ANGELES 90023
CELERITY TROIKA CHRTR,6460 N FIGUEROA ST LOS ANGELES 90042
GARDENA BUS GAR,18421 HOOVER ST GARDENA 90248
M&O AREA C-2 OFF,4545 HUNTINGTON DR LOS ANGELES 90032
CARLSON HOSP (K-12),10952 WHIPPLE ST NO HOLLYWOOD 91602
LA LEADERSHIP ACADEMY,234 E AVE 33 LOS ANGELES 90031
POLITI ES,2481 W 11TH ST LOS ANGELES 90006
PARKS LRN CTR,8855 NOBLE AVE NORTH HILLS 91343
JEFFERSON HS,1319 E 41ST ST LOS ANGELES 90011
ROSCOMARE ES,2425 ROSCOMARE RD LOS ANGELES 90077
HAWKINS HS C/DAGS,825 W 60TH ST LOS ANGELES 90044
RILEY HS-CYESIS (GARDENA),1618 W 184TH GARDENA 90248
42ND ST ES,4231 FOURTH AVE LOS ANGELES 90008
FORT MAC ARTHUR ANNX,450 N GRAND AVE LOS ANGELES 90012
109TH ST ES,10915 S MC KINLEY AVE LOS ANGELES 90059
LOS ANGELES TECH CTR,3721 W WASHINGTON BLVD LOS ANGELES 90018
FAIRBURN ES,1403 FAIRBURN AVE LOS ANGELES 90024
LIGGETT ES,9373 MOONBEAM AVE PANORAMA CITY 91402
BSD-ADM OFF-SOTO ST,2011 N SOTO ST LOS ANGELES 90032
NOBLE ES,8329 NOBLE AVE NO HOLLYWOOD 91343
HUMPHREYS ES,500 S HUMPHREYS AVE LOS ANGELES 90022
BELVEDERE ES,3724 E FIRST ST LOS ANGELES 90063
NEW DESIGNS,2303 S FIGUEROA WAY LOS ANGELES 90007
AMANECER PC,832 S EASTMAN AVE LOS ANGELES 90023
SOTOMAYOR LRNG ACAD,2050 SAN FERNANDO RD LOS ANGELES 90065
DARBY AVE CHRTR,10818 DARBY AVE NORTHRIDGE 91325
CARNEGIE MS,21820 BONITA ST CARSON 90745
FRIEDMAN OCC CTR,1646 S OLIVE ST LOS ANGELES 90015
SIERRA PARK ES,3170 BUDAU AVE LOS ANGELES 90032
CHAMPS,6842 VAN NUYS BLVD VAN NUYS 91405
GRANADA HILLS HS,10535 ZELZAH AVE GRANADA HILLS 91344
HOLMES ES,5108 HOLMES AVE LOS ANGELES 90058
MCBRIDE SP ED CTR,3960 CENTINELA AVE LOS ANGELES 90066
AMBASSADOR SCH OF GLOBAL ED,3400 WILSHIRE BLVD LOS ANGELES 90010
CITY OF ANGELS,1449 S SAN PEDRO ST LOS ANGELES 90015
MAIN ST ES,129 E 53RD ST LOS ANGELES 90011
JAMES JORDAN MS,7911 WINNETKA AVE WINNETKA 91306
MARINA DEL REY MS,12500 BRADDOCK DR LOS ANGELES 90066
NORTHRIDGE ACADEMY HS,9601 ZELZAH AVE NORTHRIDGE 91330
EAST LA STAR ADULT ED,319 N HUMPHREYS AVE LOS ANGELES 90022
SANTANA ARTS ACAD,9301 N COLUMBUS AVE LOS ANGELES 91343
MAGNOLIA SCI ACAD 6,3754 DUNN DRIVE LOS ANGELES 90034
WALGROVE ES,1630 WALGROVE AVE LOS ANGELES 90066
OBAMA ES,8150 N CEDOS AVE PANORAMA CITY 91402
CASTLEBAY LN ES,19010 CASTLEBAY LN NORTHRIDGE 91326
DANUBE ES,11220 DANUBE AVE GRANADA HILLS 91344
MERIDIAN EEC,6124 RUBY PL LOS ANGELES 90042
WOODCREST ES,1151 W 109TH ST LOS ANGELES 90044
ROWAN ES,600 S ROWAN AVE LOS ANGELES 90023
COEUR D ALENE ES,810 COEUR D'ALENE AVE VENICE 90291
SOLIS LRNG ACAD,319 N HUMPHREYS AVE LOS ANGELES 90022
EXEC PREP ACAD FIN,2506 W IMPERIAL HWY HAWTHORNE 90250
M&O DIST 6 SAT,5115 SOUTHERN AVE LOS ANGELES 90280
WEIGAND ES,10401 WEIGAND AVE LOS ANGELES 90002
ACCELERATED CHARTER,4000 S MAIN ST LOS ANGELES 90037
BRAVO MEDICAL MAG,1200 N CORNWELL ST LOS ANGELES 90033
DOLORES ES,22526 DOLORES ST CARSON 90745
CURTISS MS,1254 E HELMICK ST CARSON 90746
PC-VAL CLS EMP OFF,6505 ZELZAH RESEDA 
MT WASHINGTON ES,3981 SAN RAFAEL AVE LOS ANGELES 90065
LOU DANTZLER PREP CHRTR MS,5029 S VERMONT AVE LOS ANGELES 90037
CASTELAR ES,840 YALE ST LOS ANGELES 90012
"MOORE MATH,SCI AND TECH ACAD",1321 E 61ST ST LOS ANGELES 90001
HESBY OAKS CHRTR,15530 HESBY ST ENCINO 91436
RIORDAN PC,5531 MONTE VISTA ST LOS ANGELES 90042
WRIGHT ENG DES MAG,6550 W 80TH ST LOS ANGELES 90045
MAGNOLIA ACAD SCI #2,17125 VICTORY BLVD LAKE BALBOA 91406
135TH ST ES,801 W 135TH ST GARDENA 90247
28TH ST ES,2807 STANFORD AVE LOS ANGELES 90011
PRESIDENT ES,1465 W 243RD ST HARBOR CITY 90710
PALMS MS,10860 WOODBINE ST LOS ANGELES 90034
SUTTER MS,7330 WINNETKA AVE CANOGA PARK 91306
NEVADA ES,22120 CHASE ST CANOGA PARK 91304
FRIES ES,1301 FRIES AVE WILMINGTON 90744
MIDDLE COLLEGE HS,1600 W IMPERIAL HWY LOS ANGELES 90047
MONTE VISTA ES,5423 MONTE VISTA ST LOS ANGELES 90042
APEX ACADEMY,1309 N WILTON PL HOLLYWOOD 90028
WALNUT PARK MS SCH OF SOC JUST & SERV LRNG,7500 MARBRISA AVE WALNUT PARK 90255
GRAND VIEW ES,3951 GRAND VIEW BLVD LOS ANGELES 90066
SAN PEDRO SCI CTR,2201 BARRYWOOD AVE SAN PEDRO 90731
ENADIA TECH ENR CHRTR,22944 WEST ENADIA WAY CANOGA PARK 91304
JONES ES,900 E 33RD ST LOS ANGELES 90011
FLETCHER DR ES,3350 FLETCHER DR LOS ANGELES 90065
RAMONA HIGH (OPP),231 S ALMA AVE LOS ANGELES 90063
LIZARRAGA ES,401 E 40TH PL LOS ANGELES 90011
WATTS LRNG CTR CHRTR MS,8880 S SAN PEDRO ST LOS ANGELES 90059
MAYWOOD ACADEMY HS,6125 PINE AVE MAYWOOD 90270
RIVERSIDE DR CHRTR,13061 RIVERSIDE DR SHERMAN OAKS 91423
STAFF REL - 14TH ST,716 E 14TH ST LOS ANGELES 90015
NORTH VALLEY OCC CTR,11450 SHARP AVE MISSION HILLS 91345
ESCALANTE ES,4443 LIVE OAK ST CUDAHY 90201
BUSHNELL WAY ES,5507 BUSHNELL WAY LOS ANGELES 90042
GLENFELIZ BLVD ES,3955 GLENFELIZ BLVD LOS ANGELES 90039
HOOPER AVE PC,1280 E 52ND ST LOS ANGELES 90011
SYNERGY KINETICS ACADEMY,1420 E ADAMS BLVD LOS ANGELES 90011
BELLEVUE PC,610 N MICHELTORENA ST LOS ANGELES 90026
GULF ES,828 W \ L\ ST WILMINGTON 90744
ESCUTIA PC,6401 BEAR AVE BELL 90201
FLOURNOY ES,1630 E 111TH ST LOS ANGELES 90059
MAGNOLIA SCI ACAD 7,18355 ROSCOE BLVD NORTHRIDGE 91335
COMMONWEALTH ES,215 S COMMONWEALTH LOS ANGELES 90004
CASTELLANOS ES,1723 W CORDOVA ST LOS ANGELES 90007
SOUTH GATE MS,4100 FIRESTONE BLVD SOUTH GATE 90280
CARVER MS,4410 MC KINLEY AV LOS ANGELES 90011
LOGAN EEC,1712 W MONTANA ST LOS ANGELES 90026
CELERITY DYAD CHRTR,4607 S CENTRAL AVE LOS ANGELES 90011
PUC NUEVA ESPERANZA CHRTR ACAD,1218 4TH ST SAN FERNANDO 91340
WILSHIRE CREST ES,5241 W OLYMPIC BLVD LOS ANGELES 90036
RIVERA LC PUBLIC SERVICE COMM SCHOOL,6100 S CENTRAL AVE LOS ANGELES 90001
MACK ES,3020 S CATALINA ST LOS ANGELES 90007
GERMAIN ACAD FOR ACADEMIC ACHIEVEMENT,20730 GERMAIN ST CHATSWORTH 91311
SALVIN SP ED CTR,1925 BUDLONG AVE LOS ANGELES 90007
BRADDOCK DRIVE ES,4711 INGLEWOOD BL CULVER CITY 90230
HADDON ES,10115 HADDON AVE PACOIMA 91331
HOOVER ES,2726 FRANCIS AVE LOS ANGELES 90005
BURROUGHS MS,600 S MC CADDEN P LOS ANGELES 90005
ROCKDALE VAPA MAG,1303 YOSEMITE DR LOS ANGELES 90041
TERESA HUGHES ES,4242 CLARA ST CUDAHY 90201
NEW LOS ANGELES CHARTER SCHOOL,1919 S BURNSIDE AVE LOS ANGELES 90016
MARQUEZ HS LIBRA ACAD,6361 COTTAGE ST HUNTINGTON PARK 90255
HOLLENBECK MS,2510 E SIXTH ST LOS ANGELES 90023
ROSEMONT ES,421 N ROSEMONT AVE LOS ANGELES 90026
NEWMAN CH NUTR CTR,2310 CHARLOTTE ST LOS ANGELES 90033
HOBART BLVD ES,980 S HOBART BLVD LOS ANGELES 90006
PLAYA DEL REY ES,12221 JUNIETTE ST CULVER CITY 90230
CASTRO MS,1575 W 2ND ST LOS ANGELES 90026
PTA HLTH CTR,1000 W VENICE BLVD LOS ANGELES 90015
DAYTON HEIGHTS ES,607 N WESTMORELAN LOS ANGELES 90004
SOUTH EAST HS,2720 TWEEDY BLVD SOUTH GATE 90280
ASPIRE FIRESTONE ACAD,8929 KAUFFMAN AVE SOUTH GATE 90280
ALLIANCE ENV SCI & TECH HS,2930 FLETCHER DR LOS ANGELES 90065
ALLIANCE DR. OLGA MOHAN HS,644 W 17TH ST LOS ANGELES 90015
BREED ES,2226 E THIRD ST LOS ANGELES 90033
KINDERGARTEN LRN ACD,6555 SYLMAR AVE VAN NUYS 91401
ALAMEDA GARAGE - NFA,6901 S ALAMEDA HUNTINGTON PARK 90001
UNION ES,150 S BURLINGTON AVE LOS ANGELES 90057
SUN VAL GARAGE-NFA,11247 SHERMAN WAY SUN VALLEY 91352
MAGNOLIA SCI ACAD,18238 SHERMAN WAY RESEDA 91335
92ND ST ES,9211 GRAPE ST LOS ANGELES 90002
ADAMS MS,151 W 30TH ST LOS ANGELES 90007
PC-WEST CLS EMP OFF,11380 W GRAHAM PL LOS ANGELES 90064
EMP PREP CTR-WATERS,10925 S CENTRAL AVE LOS ANGELES 90059
GLEDHILL ES,16030 GLEDHILL ST NORTH HILLS 91343
NEW HORIZONS CHRTR ACAD,5955 LANKERSHIM BLVD NORTH HOLLYWOOD 91606
HELIOTROPE ES,5911 WOODLAWN AVE MAYWOOD 90270
CALAHAN COMM CHRTR,18722 KNAPP ST NORTHRIDGE 91324
ANIMO WATTS COLLEGE PREP ACAD,12628 AVALON BLVD. LOS ANGELES 90061
OLGUIN HS,3210 S ALMA ST SAN PEDRO 90731
SF INST APPLD MEDIA,130 N BRAND BLVD SAN FERNANDO 91340
INGENIUM CHRTR MS,22250 ELKWOOD ST CANOGA PARK 91304
LACES MAG,5931 W 18TH ST LOS ANGELES 90035
RILEY HS-CYESIS (EASTSIDE),4505 MULTOMAH ST LOS ANGELES 90032
BARRETT ES,419 W 98TH ST LOS ANGELES 90003
ROGERS CONT HS,14711 GILMORE ST VAN NUYS 91411
"IVY BOUND MATH,SCI & TECH",15355 MORRISON ST SHERMAN OAKS 91403
EXTERA PUBLIC SCHOOL 2,1015 S LORENA ST LOS ANGELES 90023
HOLMES MS,9351 PASO ROBLES AVE NORTHRIDGE 91325
KENNEDY COMMUNITY OF SCHOOLS,3400 WILSHIRE BLVD LOS ANGELES 90010
RUSSELL ES,1263 E FIRESTONE BLVD LOS ANGELES 90001
61ST ST ES,6020 S FIGUEROA ST LOS ANGELES 90003
KIM ACAD,615 S SHATTO PL LOS ANGELES 90005
BERTRAND ES,7021 BERTRAND AVE RESEDA 91335
SIERRA VISTA ES,4342 ALPHA ST LOS ANGELES 90032
HOLLYWOOD PC,1115 TAMARIND AVE LOS ANGELES 90038
LASHON ACAD,7477 KESTER AVE VAN NUYS 91405
HUNTINGTON PARK ES,6055 CORONA AVE HUNTINGTON PARK 90255
ARTS IN ACTION COMM CHRTR,1241 SOTO ST #200 LOS ANGELES 90023
SEPULVEDA GARAGE-NFA,8920 SEPULVEDA BLVD NORTH HILLS 91343
GLOBAL EDUC ACAD,4141 S FIGUEROA ST LOS ANGELES 90037
WASHINGTON PREP HS,10860 S DENKER AVE LOS ANGELES 90047
SOUTHEAST MS,2560 TWEEDY BLVD SOUTH GATE 90280
ALDAMA ES,632 N AVE 50 LOS ANGELES 90042
WHITE ES,2401 WILSHIRE BLV LOS ANGELES 90057
DE LA TORRE JR ES,500 NORTH ISLAND AVE WILMINGTON 90744
ALTA CALIFORNIA ES,14859 W RAYEN ST PANORAMA CITY 91402
N.E.W. CANOGA PARK ES,21425 COHASSET ST CANOGA PARK 91303
SUN VALLEY BSEL MAG,7330 BAKMAN AVE SUN VALLEY 91352
WILSHIRE PARK ES,4063 INGRAHAM ST LOS ANGELES 90005
HUNTINGTON PARK HS,6020 MILES AVE HUNTINGTON PARK 90255
MOSK ES,7335 N LUBAO AVE CANOGA PARK 91306
CELERITY NASCENT CHARTER SCHOOL,4231 4TH AVE LOS ANGELES 90008
HOLLYWOOD HS,1521 N HIGHLAND AVE LOS ANGELES 90028
10TH ST ES,1000 GRATTAN ST LOS ANGELES 90015
BANNING HS,1527 LAKME AVE WILMINGTON 90744
BERT CORONA CHARTER,9400 REMICK AVE PACOIMA 91331
CAMINO NUEVO HS #2,3500 W TEMPLE ST LOS ANGELES 90004
LAFAYETTE PARK PC,310 S LAFAYETTE PARK PL LOS ANGELES 90057
PATHWAYS COMMUNITY CHRTR,8800 S SAN PEDRO ST LOS ANGELES 90003
MONTAGUE ST SCHOOL,13000 MONTAGUE ST PACOIMA 91331
SANTEE EDUCATION COMPLEX,1921 S MAPLE AVE LOS ANGELES 90011-1036
OBAMA GLOBAL PREP ACAD,1700 W 46TH ST LOS ANGELES 90062
HERRICK ES,13350 HERRICK AVE SYLMAR 91342
NAVA LRNG ACAD - SCH ARTS & CULTURE,1420 E ADAMS BLVD LOS ANGELES 90011
OCEAN CHARTER SCHOOL,7400 W MANCHESTER AVE LOS ANGELES 90045
MIRAMONTE ES,1400 E 68TH ST LOS ANGELES 90001
JORDAN HS,2265 E 103RD ST LOS ANGELES 90002
C O-M&O PROJ. UNIT SOUTH,611 JACKSON ST LOS ANGELES 90012
ASPIRE-TATE ACAD,123 W 59TH ST LOS ANGELES 90003
LOS ANGELES ACAD MS,644 E 56TH ST LOS ANGELES 90011
ELA OCC CTR,2100 MARENGO ST LOS ANGELES 90033
ROBERTI EEC,1156 E VERNON AVE LOS ANGELES 90011
HUBBARD ES,13325 HUBBARD ST SYLMAR 91342
JONES PC,1017 W 47TH ST LOS ANGELES 90037
KINGSLEY ES,5200 W VIRGINIA AVE LOS ANGELES 90029
GARDENA HS,1301 W 182ND ST GARDENA 90248
BRIDGES SPAN,825 W 60TH ST LOS ANGELES 90044
HOPE ST ES,7560 STATE ST HUNTINGTON PARK 90255
SHIRLEY ES,19452 HART ST RESEDA 91335
LAMOTTE ES,4410 ORCHARD AVE LOS ANGELES 90037
KING JR ES,3989 S HOBART BLVD LOS ANGELES 90062
KIPP PHILOSOPHERS ACAD,8300 S CENTRAL AVE LOS ANGELES 90001
SUNRISE ES,2821 E SEVENTH ST LOS ANGELES 90023
TULSA ES,10900 HAYVENHURST AVE GRANADA HILLS 91344
NVOC AVIATION CTR,16550 SATICOY ST VAN NUYS 91406
VISTA MS,15060 ROSCOE BLVD VAN NUYS 91402
BUDLONG ES,5940 S BUDLONG AV LOS ANGELES 90044
ALLESANDRO ES,2210 RIVERSIDE DR LOS ANGELES 90039
LOU DANTZLER PREP CHRTR ES,5940 BUDLONG AVE LOS ANGELES 90044
102ND ST EEC,1925 E 102ND ST LOS ANGELES 90002
LAKE ST PRIMARY SCHOOL,135 N LAKE ST LOS ANGELES 90026
LOS ANGELITOS EEC,400 W 9TH ST LOS ANGELES 90015
NEW OPEN WORLD ACAD,3400 WILSHIRE BLVD LOS ANGELES 90010
BRIGHT STAR SECONDARY ACAD,5431 WEST 98TH ST. LOS ANGELES 90045
HUNTINGTON DR ES,4435 N HUNTINGTON DR LOS ANGELES 90062
CONTRERAS SCHOOL OF BUS & TOURISM,322 S LUCAS AVE LOS ANGELES 90017
DIXIE CANYON COMM CHRTR,4220 DIXIE CANYON AVE SHERMAN OAKS 91423
MONROE HS,9229 HASKELL AVE NORTH HILLS 91343
VALLEY ACAD OF ARTS AND SCI,10445 BALBOA BLVD GRANADA HILLS 91344
IVY BOUND ACAD MS 2,20040 PARTHENIA ST NOTHRIDGE 91324
LILLIAN ES,5909 LILLIAN ST LOS ANGELES 90001
LIECHTY MS,650 S UNION AVE LOS ANGELES 90017
ISIC,333 S BEAUDRY AVE 11TH FLOOR LOS ANGELES 90071
OSCEOLA ES,14940 OSCEOLA ST SYLMAR 91342
STEVENSON MS,725 S INDIANA ST LOS ANGELES 90023
ASPIRE-SLAUSON ACAD,123 W 59TH ST LOS ANGELES 90003
AMESTOY ES,1048 W 149TH ST GARDENA 90247
WISDOM ES,1125 E 74TH ST LOS ANGELES 90001
ALLIANCE COLLEGE-READY MS ACAD #9,5886 COMPTON AVE LOS ANGELES 90001
66TH ST ES,6600 S SAN PEDRO LOS ANGELES 90003
CHATSWORTH PARK ES,22005 DEVONSHIRE CHATSWORTH 91311
CELERITY PALMATI CHARTER SCHOOL,6501 LAUREL CANYON BLVD NORTH HOLLYWOOD 91606
BROADOUS EEC,11736 BROMONT AVE PACOIMA 91331
ALLIANCE COLLEGE-READY MS ACAD #8,3651 E 1ST ST LOS ANGELES 90063
BURBANK MS,6460 N FIGUEROA ST LOS ANGELES 90042
CHIME INST SCHWARZENEGGER COMM,19722 COLLIER ST WOODLAND HILLS 91364
STONEY POINT HS,10010 DE SOTO AVE CHATSWORTH 91311
ALLIANCE OUCHI-O'DONOVAN CHRTR HS,5356 S 5TH AVE LOS ANGELES 90043
LE CONTE MS,1316 N BRONSON AVE HOLLYWOOD 90028
HARBOR CITY ES,1508 W 254TH ST HARBOR CITY 90710
METRO CHRTR SCHOOL,320 W 15TH ST LOS ANGELES 90015
LAUREL EEC,8023 WILLOUGHBY AVE LOS ANGELES 90046
NEW DESIGNS - WATTS,12714 S AVALON BLVD LOS ANGELES 90061
MC KINLEY ES,7812 MC KINLEY AVE LOS ANGELES 90001
M&O DIST 4 SAT,3225 LACY ST LOS ANGELES 90031
HARVARD ES,330 N HARVARD BLVD LOS ANGELES 90004
GAGE MS,2880 E GAGE AVE HUNTINGTON PARK 90255
UCLA COMMUNITY SCHOOL,3400 WILSHIRE BLVD LOS ANGELES 90010
EINSTEIN CONT HS,15938 TUPPER ST NORTH HILLS 91343
BAKEWELL PC,8261 S BARING CROSS ST LOS ANGELES 90044
WEST VERNON ES,4312 S GRAND AVE LOS ANGELES 90037
75TH ST ES,142 W 75TH ST LOS ANGELES 90003
DEL AMO ES,21228 WATER ST CARSON 90745
MADISON MS,13000 HART ST NO HOLLYWOOD 91605
CENTER FOR ADVANCED LRNG,4016 S CENTRAL AVE LOS ANGELES 90011
LOCKE COLLEGE PREP ACAD HS,325 E. 111TH ST. 102 B LOS ANGELES 90061
BERNSTEIN HS,1309 N WILTON PL HOLLYWOOD 90028
GRIFFITH JOYNER ES,1963 E 103RD ST LOS ANGELES 90002
24TH ST ES,2055 W 24TH ST LOS ANGELES 90018
ALLIANCE RENEE AND MEYER LUSKIN HS,2941 W 70TH ST LOS ANGELES 90043
DYMALLY HS,8800 S SAN PEDRO DR LOS ANGELES 90003
ALLIANCE MEDIA ARTS & ENT. DESIGN HS,113 S ROWAN AVE LOS ANGELES 90063
BROADWAY ES,1015 LINCOLN BLVD VENICE 90291
CHEREMOYA ES,6017 FRANKLIN AVE LOS ANGELES 90028
DEL OLMO ES,100 N NEW HAMPSHIRE AVE LOS ANGELES 90004
LOS ANGELES ACADEMY OF ARTS AND ENTERPRISE,600 S LA FAYETTE PARK PL LOS ANGELES 90057
LEICHMAN SP ED CTR,19034 GAULT ST RESEDA 91335
SAN JOSE ES,14928 CLYMER ST MISSION HILLS 91345
GRANT HS,13000 OXNARD ST VAN NUYS 91401
PLAINVIEW ACADEMIC CHRTR ACAD,10819 PLAINVIEW AVE TUJUNGA 91042
ELEMENTARY DIST 1,6519 EIGHTH AVE LOS ANGELES 90043
RIDE SMART ACAD,1041 E 46TH ST LOS ANGELES 90011
FREMONT HS,7676 S SAN PEDRO LOS ANGELES 90003
EUCLID ES,806 EUCLID AVE LOS ANGELES 90023
TOWNE ES,18924 TOWNE AVE CARSON 90746
PC-EAST CLS EMP OFF,2114 MARENGO ST LOS ANGELES 90033
HARBOR OCC CTR,740 N PACIFIC AVE SAN PEDRO 90731
ALLIANCE MARC & EVA STERN MATH & SCI,5151 STATE UNIVERSITY DR LOT 7 LOS ANGELES 90032
FISHBURN ES,5701 FISHBURN AVE MAYWOOD 90270
